,,,,,30,50,40,50,,,,,15
Mar-19,2019-03,Fruit,Apples,"7,853","1,806","3,534",471,"1,767","4,319","1,237",530,"1,502",265
Mar-19,2019-03,Fruit,Bananas,707,106,354,120,177,353,124,53,150,27
Mar-19,2019-03,Fruit,Pears,"8,478","2,289",339,933,170,"6,189",119,51,"1,802",318
Mar-19,2019-03,Dairy,Eggs,"7,518","1,804","1,729",526,865,"5,714",605,259,799,141
Apr-19,2019-04,Dairy,Milk,"7,370","2,064","1,106","2,358",553,"5,012",387,166,"1,534",271
Apr-19,2019-04,Vegetables,Onions,"3,086",185,525,0,263,"2,561",184,79,223,39
Apr-19,2019-04,Vegetables,Carrots,"7,467","1,568","2,912","1,120","1,456","4,555","1,019",437,"1,238",218
Apr-19,2019-04,Vegetables,Potatoes,"3,971",119,"1,986","1,032",993,"1,985",695,298,844,149
Apr-19,2019-04,Fruit,Apples,"1,254",326,176,226,88,928,62,26,202,36
Apr-19,2019-04,Fruit,Bananas,"3,225",129,"1,322",774,661,"1,903",463,198,562,99
Apr-19,2019-04,Fruit,Pears,"4,345",348,"1,738",43,869,"2,607",608,261,739,130
May-19,2019-05,Dairy,Eggs,"8,471",762,"2,457","2,118","1,229","6,014",860,369,"1,044",184
May-19,2019-05,Dairy,Milk,964,174,67,183,34,781,23,10,127,22
May-19,2019-05,Vegetables,Onions,"8,019","2,165","3,769",642,"1,885","4,250","1,319",565,"1,602",283
May-19,2019-05,Vegetables,Carrots,"4,211","1,095","1,642",84,821,"2,569",575,246,698,123
May-19,2019-05,Vegetables,Potatoes,"9,102","2,549",728,"1,092",364,"6,553",255,109,"1,857",328
May-19,2019-05,Fruit,Apples,"6,428",579,643,193,322,"5,785",225,96,273,48
May-19,2019-05,Fruit,Bananas,"4,848",485,"2,036",533,"1,018","2,812",713,305,865,153
May-19,2019-05,Fruit,Pears,"7,548","1,736","3,246",151,"1,623","4,302","1,136",487,"1,380",243
Jun-19,2019-06,Dairy,Eggs,"9,082","1,453","3,814","2,543","1,907","5,268","1,335",572,"1,621",286
Jun-19,2019-06,Dairy,Milk,"1,755",211,544,70,272,"1,211",190,82,231,41
Jun-19,2019-06,Vegetables,Onions,569,119,182,17,91,387,64,27,77,14
Jun-19,2019-06,Vegetables,Carrots,"5,325","1,172",692,533,346,"4,153",242,104,702,124
Jun-19,2019-06,Vegetables,Potatoes,782,70,8,39,4,712,3,1,56,10
Jun-19,2019-06,Fruit,Apples,985,187,325,296,163,660,114,49,138,24
Jun-19,2019-06,Fruit,Bananas,"1,816",545,854,345,427,962,299,128,363,64
Jun-19,2019-06,Fruit,Pears,"6,647","1,728","3,191",332,"1,596","3,456","1,117",479,"1,356",239
Jul-19,2019-07,Dairy,Eggs,"3,537",495,71,566,36,"2,971",25,11,451,80
Jul-19,2019-07,Dairy,Milk,"8,877","1,775",533,"1,065",267,"7,102",187,80,"1,282",226
Jul-19,2019-07,Vegetables,Onions,"1,573",204,409,362,205,"1,164",143,61,174,31
Jul-19,2019-07,Vegetables,Carrots,"3,932",668,197,"1,140",99,"2,792",69,30,885,156
Jul-19,2019-07,Vegetables,Potatoes,245,27,2,49,1,196,1,0,41,7
Jul-19,2019-07,Fruit,Apples,"1,737",35,261,504,131,"1,233",91,39,317,56
Jul-19,2019-07,Fruit,Bananas,"7,045","1,409",916,"1,973",458,"5,072",321,137,"1,288",227
Aug-19,2019-08,Fruit,Pears,638,172,262,108,131,376,92,39,111,20
Aug-19,2019-08,Dairy,Eggs,"7,756","1,474","3,258","1,008","1,629","4,498","1,140",489,"1,385",244
Aug-19,2019-08,Dairy,Milk,"3,289",756,329,592,165,"2,533",115,49,503,89
Aug-19,2019-08,Vegetables,Onions,"3,818",420,"1,107",611,554,"2,711",387,166,470,83
Aug-19,2019-08,Vegetables,Carrots,"6,524",848,"3,132","2,153","1,566","3,392","1,096",470,"1,331",235
Aug-19,2019-08,Vegetables,Potatoes,"6,050","1,210","2,360",424,"1,180","3,690",826,354,"1,003",177
Aug-19,2019-08,Fruit,Apples,572,17,189,160,95,383,66,28,80,14
Aug-19,2019-08,Fruit,Bananas,"1,306",340,287,431,144,875,100,43,244,43
Sep-19,2019-09,Fruit,Pears,"5,449","1,471","2,725",109,"1,363","2,724",954,409,"1,158",204
Sep-19,2019-09,Dairy,Eggs,"1,202",120,60,481,30,721,21,9,383,68
Sep-19,2019-09,Dairy,Milk,"4,896",979,"2,007","1,518","1,004","2,889",702,301,853,151
Sep-19,2019-09,Vegetables,Onions,"4,482",269,627,"1,121",314,"3,361",219,94,686,121
Sep-19,2019-09,Vegetables,Carrots,711,100,85,78,43,611,30,13,49,9
Sep-19,2019-09,Vegetables,Potatoes,"7,141","1,999","1,000","1,571",500,"5,142",350,150,"1,274",225
Sep-19,2019-09,Fruit,Apples,"2,817",141,113,225,57,"2,592",40,17,143,25
Sep-19,2019-09,Fruit,Bananas,"6,910","1,866",484,"1,658",242,"5,044",169,73,"1,380",244
Oct-19,2019-10,Fruit,Pears,"2,929",205,879,557,440,"2,050",308,132,374,66
Oct-19,2019-10,Dairy,Eggs,"1,191",226,310,202,155,881,109,47,132,23
Oct-19,2019-10,Dairy,Milk,"2,166",108,260,455,130,"1,711",91,39,276,49
Oct-19,2019-10,Vegetables,Onions,55,0,8,6,4,47,3,1,3,1
Oct-19,2019-10,Vegetables,Carrots,"5,459","1,638","1,256",55,628,"3,821",440,188,859,152
Oct-19,2019-10,Vegetables,Potatoes,"8,405",168,"2,353","2,437","1,177","5,968",824,353,"1,071",189
Oct-19,2019-10,Fruit,Apples,"8,110","1,298","2,190","1,298","1,095","5,920",767,329,931,164
Nov-19,2019-11,Fruit,Bananas,"3,889",389,78,778,39,"3,111",27,12,628,111
Nov-19,2019-11,Fruit,Pears,"2,350",400,"1,128",400,564,"1,222",395,169,479,85
Nov-19,2019-11,Dairy,Eggs,"9,691","1,260","4,846","1,647","2,423","4,845","1,696",727,"2,060",363
Nov-19,2019-11,Dairy,Milk,"4,252",255,85,723,43,"3,529",30,13,578,102
Nov-19,2019-11,Vegetables,Onions,"3,779",794,"1,663",983,832,"2,116",582,249,707,125
Nov-19,2019-11,Vegetables,Carrots,"3,841",538,"1,460","1,306",730,"2,381",511,219,621,110
Nov-19,2019-11,Vegetables,Potatoes,"8,722","1,832",262,"1,919",131,"6,803",92,39,"1,520",268
Nov-19,2019-11,Fruit,Apples,"3,771",943,867,867,434,"2,828",303,130,433,76
Dec-19,2019-12,Fruit,Bananas,"8,675","2,603","1,995","2,082",998,"6,072",698,299,"1,365",241
Dec-19,2019-12,Fruit,Pears,"4,396","1,055","1,802","1,319",901,"2,594",631,270,766,135
Dec-19,2019-12,Dairy,Eggs,"2,636",264,"1,028","1,054",514,"1,582",360,154,459,81
Dec-19,2019-12,Dairy,Milk,"5,606",0,"1,009","1,514",505,"4,092",353,151,858,151
Dec-19,2019-12,Vegetables,Onions,"5,575","1,282",56,223,28,"4,293",20,8,"1,066",188
Dec-19,2019-12,Vegetables,Carrots,"8,275","1,324","2,896","1,572","1,448","5,379","1,014",434,"1,231",217
Dec-19,2019-12,Vegetables,Potatoes,"1,529",0,398,122,199,"1,131",139,60,169,30
Dec-19,2019-12,Fruit,Apples,668,194,227,73,114,441,79,34,96,17
Jan-20,2020-01,Fruit,Bananas,"5,286","1,269","1,004","1,797",502,"3,489",351,151,"1,101",194
Jan-20,2020-01,Fruit,Pears,"7,655",842,"2,832","1,301","1,416","4,823",991,425,"1,204",212
Jan-20,2020-01,Dairy,Eggs,"1,730",87,779,433,390,951,273,117,331,58
Jan-20,2020-01,Dairy,Milk,"3,103",838,"1,334","1,024",667,"1,769",467,200,567,100
Jan-20,2020-01,Vegetables,Onions,"4,475",358,"1,522","1,566",761,"2,909",533,228,684,121
Jan-20,2020-01,Vegetables,Carrots,"8,272","1,241",165,"1,158",83,"7,031",58,25,985,174
Jan-20,2020-01,Vegetables,Potatoes,"7,873","1,496","3,228",157,"1,614","4,645","1,130",484,"1,372",242
Feb-20,2020-02,Fruit,Apples,"1,586",238,174,412,87,"1,174",61,26,276,49
Feb-20,2020-02,Fruit,Bananas,"9,004","1,531","3,061","1,801","1,531","5,943","1,071",459,"1,301",230
Feb-20,2020-02,Fruit,Pears,"7,620",838,"3,505","2,819","1,753","4,115","1,227",526,"1,490",263
Feb-20,2020-02,Dairy,Eggs,"8,751","2,013","1,663","2,100",832,"6,651",582,249,"1,078",190
Feb-20,2020-02,Dairy,Milk,"5,659","1,188","2,660","1,528","1,330","2,999",931,399,"1,131",200
Feb-20,2020-02,Vegetables,Onions,"3,557",498,676,"1,387",338,"2,170",237,101,892,157
Feb-20,2020-02,Vegetables,Carrots,678,163,264,136,132,414,92,40,112,20
Feb-20,2020-02,Vegetables,Potatoes,"1,966",550,98,609,49,"1,357",34,15,476,84
Mar-20,2020-03,Fruit,Apples,"2,101",420,105,609,53,"1,492",37,16,473,83
Mar-20,2020-03,Fruit,Bananas,"2,557",742,639,77,320,"1,815",224,96,359,63
Mar-20,2020-03,Fruit,Pears,"8,179","1,881","1,636",245,818,"6,298",573,245,904,159
Mar-20,2020-03,Dairy,Eggs,"2,362",472,283,661,142,"1,701",99,42,442,78
Mar-20,2020-03,Dairy,Milk,"6,348",762,"2,412","2,285","1,206","3,936",844,362,"1,025",181
Mar-20,2020-03,Vegetables,Onions,"7,372",516,0,221,0,"6,856",0,0,439,77
Mar-20,2020-03,Vegetables,Carrots,"2,420",484,266,774,133,"1,646",93,40,545,96
Apr-20,2020-04,Vegetables,Potatoes,"9,247",462,"2,404","3,514","1,202","5,733",841,361,"1,965",347
Apr-20,2020-04,Fruit,Apples,"3,943",434,"1,498",197,749,"2,445",524,225,637,112
Apr-20,2020-04,Fruit,Bananas,"4,805",336,"1,297","1,538",649,"3,267",454,195,756,133
Apr-20,2020-04,Fruit,Pears,"5,608","1,122","1,234","2,243",617,"3,365",432,185,"1,382",244
Apr-20,2020-04,Dairy,Eggs,"7,414",816,"2,817","2,521","1,409","4,597",986,423,"1,197",211
Apr-20,2020-04,Dairy,Milk,"7,025",843,"2,599","2,810","1,300","4,215",910,390,"1,284",227
